solvable;conf;price;weight;time;complexity
True;01011101101101111011;17561;1209;0.5650840870002867;649274
True;10110010001111010101;20949;662;0.13071697000123095;128167
True;11101110001111111111;26514;1991;0.831168577002245;1023857
True;11001110001111011001;20845;1115;0.4733323639957234;532164
False;10110100110010100011;19271;615;0.04105517499556299;40634
True;11011111111101001110;26525;1440;0.7953547569995862;886442
False;10111111111111111111;27210;2606;0.9068752990060602;1048569
False;00111101110010111111;19650;1389;0.5663707939966116;645935
True;00100100010011011000;10363;249;0.002642864994413685;1425
True;11111111101111111111;23370;2444;0.8587954809991061;1048574
True;10111110001101101101;19251;1372;0.6834310050035128;762371
True;11111101110111110111;19549;2331;0.9076455559988972;1046679
False;10000000101000010101;10419;454;0.007575645002361853;4150
True;11100010100101000111;16018;1156;0.29677598099806346;294955
False;11111111111111111011;30708;2562;0.9279204519989435;1048492
True;10010000011000000001;8752;186;0.0011151889993925579;613
True;11100110011100111011;20560;1435;0.6580213690031087;726140
False;11111111111111111011;24589;2519;0.9139168699985021;1048539
False;11111111111111011111;24440;2160;0.9381196050017024;1048160
True;10011111111111111111;24417;1608;1.0634848609988694;1042874
True;11010001101010000010;12128;350;0.009188323994749226;4337
False;10111111101000101111;19371;1934;1.0895917340021697;984726
False;11101011111111111011;28320;1696;1.1626996129998588;1024267
False;11110011101111000101;22767;1465;0.9504170760046691;808243
False;11011111111101111111;22575;2162;1.2210118109942414;1047429
False;11111111111111110111;29168;2171;1.118734803996631;1048407
True;11101111110011111111;28964;1833;1.1540549089986598;1044752
True;11001100011001000000;11722;255;0.004488598999159876;1452
True;00010011011111011101;22563;1207;0.5308476849968429;376709
False;00011100000000000000;4627;184;0.00044184299622429535;73
False;01111111110111111101;24095;2134;1.2580137309996644;1044228
False;11110111101010100011;22409;1466;0.9705478359974222;859216
False;11111001010110111111;24312;1350;1.0135710730028222;851880
True;11110111110111111011;25567;1615;1.1010822820026078;1007327
False;00111111101100010111;21271;917;0.6871551590011222;576069
True;00011001011101010110;18595;1221;0.4707399120015907;378235
True;11111111111101111111;25917;1925;1.3472126169945113;1048435
False;11011111111111011101;21341;2695;1.2291620039977715;1048038
True;10011010101000110100;13696;489;0.046328578995598946;29738
True;01001000100010010100;10863;367;0.004474907000258099;2223
False;11111111111101110101;21445;1933;1.112623093998991;1027804
True;00100110110101010010;13808;743;0.0818433059976087;49701
False;01011010110011110100;15675;1235;0.5237771030006115;359760
False;11111011011111100111;18791;2465;1.1761682759970427;1036683
False;10100000111011101001;17885;785;0.17099816400150303;111375
True;00011101001010110110;16493;1113;0.6810051900029066;505067
False;11110111111111111101;20778;2573;1.1572027380025247;1048353
True;11111111111111011111;25501;1991;1.1374693629986723;1048527
False;11111110001000011110;18969;896;0.49484295500587905;318001
False;10110111111100110111;21561;1561;1.25454224999703;1034409
False;10000000001000000111;9520;286;0.0009704409967525862;550
True;00110100010101001010;14649;688;0.06664898099552374;38981
True;11111101111011111111;28579;2073;1.182454054003756;1047405
True;00111100111100100011;18117;957;0.28633371600153623;204150
False;11011100110010111111;20988;1590;1.0954942770040361;930832
False;11111111111111111110;17745;2511;1.1375362620019587;1048572
True;11110001000011100011;13487;674;0.16177208800218068;100116
False;11110111110101110111;27658;1663;1.09756446499523;1001090
False;11101111110111111111;25731;2072;1.182847028998367;1048033
True;11111110111111110101;24902;1918;1.1524486999987857;1043189
True;10100111111111011111;21534;2000;1.1247161720020813;1035900
False;11111111111011111111;26185;1808;1.0844837080003344;1048472
False;10101110100011010010;18043;1010;0.21278040499601047;174073
False;11011000110101110011;18218;1012;0.39225098399765557;349583
