conf;price;time;rel_err
0100;1129;0.00013087700062897056;0.0
0110;2966;0.00013753399980487302;0.0
0000;0;0.00015583400090690702;0.0
1000;70;0.00014672699944640044;0.0
0101;2758;0.00015116699978534598;0.0
0100;1641;0.0001730820004013367;0.0
1101;4607;0.00016998499995679595;0.0
0110;4422;0.00017892899995786138;0.0
1011;3451;0.00012667199916904792;0.0
1000;744;0.00013930500062997453;0.0
1110;4774;0.00014103200010140426;0.0
1100;1538;0.00014725199980603065;0.0
1101;5798;0.00014997700054664165;0.0
1011;3972;0.00011781799912569113;0.0
1100;4117;0.00014396899860003032;0.0
1100;2698;8.147399967128877e-05;0.0
0000;0;0.00013849099923390895;0.0
1000;2453;0.00012249599967617542;0.0
0101;3999;0.00014466499851550907;0.0
1110;4919;0.00014674399972136598;0.0
1000;2098;0.00014639899927715305;0.0
0001;1382;0.00013783499889541417;0.0
1110;4485;0.00014670500058855396;0.0
0111;3611;0.00012911399971926585;0.0
1101;3102;0.0001334790013061138;0.0
0101;2551;0.0001546280000184197;0.0
1100;3076;0.00012686499940173235;0.0
0001;1649;0.00014777800060983282;0.0
1001;2937;0.00017116699928010348;0.0
1101;5798;0.00015195400010270532;0.0
0111;4421;0.00013055599993094802;0.018863737239236573
1011;5893;0.00014340699999593198;0.0
0100;2277;0.0001810630001273239;0.0
1001;2689;0.00012644800153793767;0.0
0100;2271;0.0001848029987741029;0.03607809847198642
1010;1209;0.00012543000048026443;0.0
0000;0;0.00016868999955477193;0.0
1100;3414;0.00012331500147411134;0.0
0111;4899;0.00011361999895598274;0.0
1010;2310;7.953999920573551e-05;0.0
1000;2024;0.0001521479989605723;0.0
0101;2625;0.0001386679996357998;0.0
1100;3331;0.0002763360007520532;0.0
0111;3271;0.00011225799971725792;0.0
1110;4966;0.00018462199841451366;0.0
1100;1792;0.0001323079995927401;0.0
0011;4753;0.0001709079988359008;0.0
0110;3966;0.00013215599938121159;0.0
0000;0;0.00012283499927434605;0.0
1001;2717;0.00014683799963677302;0.0
0000;0;0.00010965999899781309;0.0
1101;3895;9.071699969354086e-05;0.0
0011;4212;0.00016506500105606392;0.0
1000;523;0.0001058510006259894;0.0
1011;4588;0.00013034599942329805;0.0
1010;2986;0.00013414299974101596;0.0
0110;3438;0.00010659100007615052;0.0
0010;2090;0.00015459399946848862;0.0
1001;4343;0.00013403400043898728;0.0
0011;4469;0.0001829390002967557;0.0
0000;0;0.0001715950002108002;0.0
1001;2537;9.355599831906147e-05;0.0
1000;1235;0.00019134000103804283;0.0
1110;4289;0.00012416200115694664;0.0
1101;6226;0.00017993399887927808;0.0
1100;4371;0.00013028099965595175;0.0
1001;3162;0.00013363099969865289;0.0
1011;4275;0.00013800800115859602;0.0
0000;0;0.00012263400094525423;0.0
1101;5282;0.00012161999984527938;0.0
1001;2301;8.151699876179919e-05;0.0
1011;2861;9.513300028629601e-05;0.0
1010;2542;9.10420003492618e-05;0.0
0000;0;0.00011237699982302729;0.0
0111;2904;0.00011222799912502524;0.0
0011;3721;0.00017749200014804956;0.0
1110;5098;0.00012623099974007346;0.0
1101;3681;0.00011282599916739855;0.0
1011;5150;0.00013284799933899194;0.0
0010;1548;0.0001643879986659158;0.0
1100;3244;0.00010048300100606866;0.0
1011;5633;0.00013385700003709644;0.0
0000;0;0.00016617999972368125;0.0
0100;1872;0.0001209010006277822;0.0
1110;6606;0.00016719100131012965;0.0
0101;2533;0.00014487999942502938;0.0
0001;2283;0.0001269410004169913;0.0
1000;161;0.00011220799933653325;0.0
0100;927;0.00017367100008414127;0.0
1101;4527;0.00012799500109395012;0.0
1101;3363;0.00011030299901904073;0.0
0111;3770;8.880899986252189e-05;0.0
0001;1160;0.0001328489997831639;0.0
1001;1910;0.0001217339995491784;0.0
1011;5212;0.00015165500008151866;0.0
1101;2751;0.00011968499893555418;0.0
1100;3901;0.0001659500012465287;0.0
0010;1487;0.0001226210006279871;0.0
0111;4088;0.00017094999930122867;0.0
0001;1936;0.00014833199929853436;0.0
0111;5818;0.0001599749994056765;0.0
0110;3402;0.00011178900058439467;0.0
0001;1289;0.00015604500003973953;0.0
0101;2691;0.0001212110000778921;0.0
0100;2173;0.00010571699931460898;0.0
0110;3248;0.00011945400001422968;0.0
1001;3340;0.00011403600001358427;0.0
1010;3497;0.00016610300008323975;0.0
1110;5201;0.0001613849999557715;0.0
0010;1867;0.00013068800035398453;0.0
0111;5518;0.00013627000043925364;0.0
0010;2413;0.00011300199912511744;0.0
0101;3499;0.0001112850004574284;0.0
1011;3567;0.00010634200043568853;0.0
1110;5403;0.00012084000081813429;0.0
1010;3213;0.00014629600082116667;0.0
0001;2445;0.00014625699986936525;0.0
0000;0;0.0001511530008428963;0.0
0101;2993;0.0001278830004594056;0.0
0110;3018;0.00012891100050183013;0.0
1110;4255;0.00013504299931810237;0.0
1010;4162;0.000154159999510739;0.0
1011;5875;0.0001788120007404359;0.0
1000;2120;0.0001485049997427268;0.0
0101;3619;0.00016110499927890487;0.0
0000;0;0.00012293100007809699;0.0
1001;4413;0.00014054799976292998;0.0
0010;2364;0.00014566500067303423;0.0
0101;3248;0.00012228599916852545;0.0
1011;5691;0.00015192799946817104;0.0
0110;2980;0.00012650899952859618;0.0
1011;4369;0.00010521600052015856;0.0
0010;1063;0.00013727399891649839;0.0
1100;3557;0.00013789500007987954;0.0
1101;4346;0.00016748699999880046;0.0
0011;1822;0.00013760900037596002;0.0
1110;2302;0.00011355899914633483;0.0
0100;2006;0.000122149000162608;0.0
0010;1055;0.0001509889989392832;0.0
1101;5086;0.00011876099961227737;0.0
1110;1535;0.0001360340011160588;0.0
1110;6234;0.0001564860012877034;0.0
0111;2455;7.443100003001746e-05;0.0
0000;0;0.0001594360001035966;0.0
0000;0;0.0001198760000988841;0.0
0110;4255;0.00019777200031967368;0.0
