conf;price;time;rel_err
1110;1463;1.7514015780761838e-05;0.03686635944700461
1101;2417;8.859991794452071e-06;0.07783288821060663
1101;2169;7.4569834396243095e-06;0.0
1110;2709;6.943999323993921e-06;0.0
1001;2492;6.978021701797843e-06;0.381023348236463
0111;1078;6.952992407605052e-06;0.0
0101;2713;6.654998287558556e-06;0.15588052271313005
1101;2493;6.807007594034076e-06;0.0
0010;2050;6.956019205972552e-06;0.3789760678582248
1011;2966;7.118011126294732e-06;0.024662939822426833
0111;1859;6.980000762268901e-06;0.05201427842937277
0101;2114;6.746995495632291e-06;0.29953611663353213
1101;3968;6.872985977679491e-06;0.0
1011;3129;6.843998562544584e-06;0.0695807314897413
1110;2361;6.7689979914575815e-06;0.0
1011;2834;6.870017386972904e-06;0.0014094432699083862
1110;3705;7.319002179428935e-06;0.0
1100;4036;6.492977263405919e-06;0.15828988529718457
1010;3026;6.5899803303182125e-06;0.29840018548574077
1011;3527;6.813002983108163e-06;0.0
1110;2294;6.829010089859366e-06;0.0
1011;3095;6.746005965396762e-06;0.0
1001;2595;6.624002708122134e-06;0.26611990950226244
0110;2745;6.582995411008596e-06;0.2740015868817773
1101;2203;6.839021807536483e-06;0.0320738137082601
1001;2768;6.557995220646262e-06;0.27406241804353526
0111;3154;6.824004231020808e-06;0.0
1011;2641;6.7889923229813576e-06;0.09801912568306011
1110;2041;6.73800241202116e-06;0.0
1100;2719;6.540009053424001e-06;0.2983225806451613
0111;3078;6.820017006248236e-06;0.08392857142857142
1011;2321;6.881979061290622e-06;0.07677008750994431
1101;3348;6.6699867602437735e-06;0.0
0011;2644;6.362010026350617e-06;0.2945570971184632
0010;2423;6.656016921624541e-06;0.41017526777020447
1001;3536;6.5140193328261375e-06;0.12540192926045016
1011;2804;6.7610235419124365e-06;0.03310344827586207
1101;3034;6.580987246707082e-06;0.0
1010;2454;6.392976501956582e-06;0.4139001671841414
1011;2669;7.079011993482709e-06;0.0
1110;2888;6.642017979174852e-06;0.0
1001;3149;6.414978997781873e-06;0.26528231451236584
