conf;price;weight;time;complexity;optimal
01011101101101111011;17561;0;1.7143000150099397e-05;20;True
10110010001111010101;20949;0;9.620001947041601e-06;20;True
11101111011101111011;26372;0;9.691000741440803e-06;20;False
11001110001111011001;20845;0;8.56400583870709e-06;20;True
10100100110010100111;17942;0;2.6335001166444272e-05;20;False
11011111111101001110;26525;0;2.4538006982766092e-05;20;True
10111111111111111111;27210;0;2.2809996153227985e-05;20;True
00111101110010111111;19650;0;2.6563000574242324e-05;20;True
00100010010011011000;10150;0;2.3504006094299257e-05;20;False
11111111101111111111;23370;0;9.287003194913268e-06;20;True
11111111001101111001;19223;0;9.196999599225819e-06;20;False
11111101110111110111;19549;0;9.717005013953894e-06;20;True
10010000100010010101;10205;0;7.878996257204562e-06;20;False
11100010100101000111;16018;0;8.565002644900233e-06;20;True
11111111111111111011;30708;0;1.286200131289661e-05;20;True
10010000011000000010;8710;0;8.158996934071183e-06;20;False
11100111111100111001;20141;0;8.543000149074942e-06;20;False
11111111111111111011;24589;0;9.431998478248715e-06;20;True
11111111111111011111;24440;0;9.476003469899297e-06;20;True
10011111111111111111;24417;0;9.897004929371178e-06;20;True
11010001101010000010;12128;0;7.634000212419778e-06;20;True
10111111101000101111;19371;0;8.750997949391603e-06;20;True
11101011111111111011;28320;0;9.089999366551638e-06;20;True
10110011101111000111;22533;0;8.39599670143798e-06;20;False
11011111111101111111;22575;0;9.40499739954248e-06;20;True
10111111111111111111;29141;0;9.876996045932174e-06;20;False
11101111110011111111;28964;0;9.012001100927591e-06;20;True
11001100011001000000;11722;0;7.754999387543648e-06;20;True
00010011011111011101;22563;0;8.90299997990951e-06;20;True
00010110000000000000;4254;0;7.141999958548695e-06;20;False
01111111110111111101;24095;0;8.996998076327145e-06;20;True
11101111111010110011;21830;0;8.941999112721533e-06;20;False
11111001010110111111;24312;0;8.811002771835774e-06;20;True
11110111110111111011;25567;0;9.429000783711672e-06;20;True
00011111101100110111;20806;0;8.524002623744309e-06;20;False
00011000011101110111;18252;0;8.511000487487763e-06;20;False
11111111111101111111;25917;0;9.369003237225115e-06;20;True
11011111111111011101;21341;0;9.151000995188951e-06;20;True
11011010001001110100;13518;0;7.930997526273131e-06;20;False
00001000100110010100;10164;0;8.392999006900936e-06;20;False
11111111011101111101;21345;0;9.075003617908806e-06;20;False
00000111110101010110;13355;0;8.531002094969153e-06;20;False
01011010110011110100;15675;0;8.297996828332543e-06;20;True
11111011011111100111;18791;0;9.449002391193062e-06;20;True
10100100111011011000;17661;0;8.31500074127689e-06;20;False
