conf;price;weight;time;complexity
01011101101101111011;17561;1209;0.05942185199819505;4783
10110010001111010101;20949;662;0.040039564002654515;2539
11101110001111111111;26514;1991;0.00674550500116311;700
11001110001111011001;20845;1115;0.05724320499575697;4308
10110100110010100011;19271;615;0.023512788000516593;1420
11011111111101001110;26525;1440;0.007129675999749452;546
10111111111111111111;27210;2606;0.0011115140005131252;58
00111101110010111111;19650;1389;0.04398262099857675;3781
00100100010011011000;10363;249;0.007929765997687355;871
11111111101111111111;23370;2444;0.0006849420024082065;53
10111110001101101101;19251;1372;0.012543375996756367;1054
11111101110111110111;19549;2331;0.000823875998321455;76
10000000101000010101;10419;454;0.021517879999009892;2252
11100010100101000111;16018;1156;0.03931197099882411;2968
11111111111111111011;30708;2562;0.0005374319953261875;22
10010000011000000001;8752;186;0.0037397210035123862;256
11100110011100111011;20560;1435;0.03869837000092957;3112
11111111111111111011;24589;2519;0.0006770680047338828;36
11111111111111011111;24440;2160;0.0008294660001411103;49
10011111111111111111;24417;1608;0.003458373998000752;296
11010001101010000010;12128;350;0.022014361005858518;1645
10111111101000101111;19371;1934;0.0025156089977826923;192
11101011111111111011;28320;1696;0.004043789995193947;352
11110011101111000101;22767;1465;0.03458770999714034;2717
11011111111101111111;22575;2162;0.0020723779962281696;123
11111111111111110111;29168;2171;0.0004755179979838431;22
11101111110011111111;28964;1833;0.0019065669985138811;186
11001100011001000000;11722;255;0.008839125999656972;556
00010011011111011101;22563;1207;0.03802828299376415;3020
00011100000000000000;4627;184;0.0019006889997399412;61
01111111110111111101;24095;2134;0.0018167460002587177;120
11110111101010100011;22409;1466;0.0356748720005271;2613
11111001010110111111;24312;1350;0.021843167996848933;2081
11110111110111111011;25567;1615;0.011177892003615852;947
00111111101100010111;21271;917;0.046749828004976735;3204
00011001011101010110;18595;1221;0.08805952499824343;7914
11111111111101111111;25917;1925;0.0005740939959650859;44
11011111111111011101;21341;2695;0.0010347080024075694;79
10011010101000110100;13696;489;0.021247611002763733;1605
01001000100010010100;10863;367;0.007854704002966173;577
11111111111101110101;21445;1933;0.003987860000052024;254
00100110110101010010;13808;743;0.08523520400194684;6619
01011010110011110100;15675;1235;0.08859851700253785;7039
11111011011111100111;18791;2465;0.0031946099988999777;283
10100000111011101001;17885;785;0.07118515600450337;5702
00011101001010110110;16493;1113;0.19104320500628091;23199
11110111111111111101;20778;2573;0.0008321329951286316;51
11111111111111011111;25501;1991;0.0005304820006131195;25
11111110001000011110;18969;896;0.056979121996846516;5770
10110111111100110111;21561;1561;0.0040674529955140315;327
10000000001000000111;9520;286;0.001952431004610844;138
00110100010101001010;14649;688;0.0540156159986509;4096
11111101111011111111;28579;2073;0.0012502239987952635;106
00111100111100100011;18117;957;0.13754105700354557;11958
11011100110010111111;20988;1590;0.017052442002750468;1900
11111111111111111110;17745;2511;0.00047984100092435256;20
11110001000011100011;13487;674;0.08476757299649762;6833
11110111110101110111;27658;1663;0.007777159997203853;768
11101111110111111111;25731;2072;0.003100487003393937;220
11111110111111110101;24902;1918;0.004031917000247631;314
10100111111111011111;21534;2000;0.004293215002689976;478
11111111111011111111;26185;1808;0.0005394250038079917;35
10101110100011010010;18043;1010;0.05943689999548951;4109
11011000110101110011;18218;1012;0.07412403299531434;5821
00111100011101000101;15681;686;0.046667359994899016;3241
10011011100010101110;15683;844;0.04187591800291557;2662
11111111111111111011;25267;2694;0.0006030790027580224;22
11110110111011111111;28944;1778;0.003955649000999983;449
01101101111010111111;21264;1176;0.017916152995894663;1218
00000001100001000000;4454;61;0.0003298879964859225;17
11111111111100111111;24433;1785;0.0005898670060560107;54
11001111011001010111;20384;1561;0.13051361199904932;14295
10111101111110101110;24215;2145;0.006201230993610807;573
11101111011111111101;19611;1873;0.005875953000213485;499
10001001010000000000;7414;72;0.0009158690008916892;40
11101101111111101111;27779;2205;0.0023686470012762584;210
01111110111011101101;20537;2597;0.0029295829954207875;269
10010001000101100001;12188;195;0.004378049998194911;290
11111011111110111110;21921;1876;0.00175653299811529;128
11111011111011111111;22053;2141;0.0013690480045625009;100
11011111101011101111;21600;1775;0.008492128996294923;780
01000100010100000000;8417;118;0.0008727899985387921;52
10000000000000000011;4168;48;0.0003053660038858652;11
01100110001011000000;12616;620;0.0690945530004683;5016
11011111011101111111;23656;2087;0.003727638002601452;268
00110111110011111001;21301;1672;0.07938232800370315;6672
10001001000000100100;8249;216;0.0010776929993880913;60
01111111111111011101;26574;2233;0.003566163999494165;264
11001000000110001101;13537;432;0.024920958996517584;1897
11111111111111111011;18386;2019;0.0004942540035699494;25
01110100111110101110;22733;1625;0.06600040099874604;6239
10101101000000110011;16487;771;0.05074100400088355;4075
00001000001001100000;5152;183;0.0005984660019748844;52
00000101011101000001;12639;418;0.011234958998102229;822
11111111111111111101;20594;2441;0.0006422789956559427;21
00000101010011101111;18731;1005;0.17762305899668718;14085
11111111110111111100;26395;1979;0.0012585730000864714;52
10101111110111100111;26430;1303;0.01163225100026466;1004
