conf;price;weight;time;complexity;valid
00000000000000000000;13700;0;1.503100065747276e-05;17;False
00000000000000000000;16902;0;8.419003279414028e-06;16;False
00000000000000000000;16356;0;8.01699934527278e-06;16;False
00000000000000000000;17955;0;8.15399835119024e-06;17;True
00000000000000000000;17657;0;7.758000720059499e-06;16;False
00000000000000000000;18403;0;7.716000254731625e-06;16;False
00000000000000000000;16367;0;7.538998033851385e-06;16;False
00000000000000000000;17919;0;8.331997378263623e-06;16;False
00000000000000000000;18147;0;7.210997864603996e-06;15;False
00000000000000000000;18359;0;7.43000055081211e-06;16;False
00000000000000000000;17846;0;7.363996701315045e-06;16;False
00000000000000000000;17172;0;7.963000825839117e-06;16;False
00000000000000000000;18545;0;7.194001227617264e-06;15;False
00000000000000000000;20007;0;7.995997293619439e-06;16;False
00000000000000000000;15417;0;7.84499934525229e-06;16;False
00000000000000000000;14970;0;8.520000847056508e-06;16;False
00000000000000000000;15788;0;8.6069994722493e-06;17;False
00000000000000000000;18011;0;8.451002941001207e-06;16;False
00000000000000000000;16767;0;8.517999958712608e-06;17;False
00000000000000000000;17562;0;8.429000445175916e-06;17;False
00000000000000000000;16942;0;8.194998372346163e-06;17;True
00000000000000000000;15600;0;8.611998055130243e-06;17;False
00000000000000000000;15768;0;7.935999747132882e-06;16;False
00000000000000000000;16195;0;7.646998710697517e-06;16;False
00000000000000000000;17002;0;8.104001608444378e-06;16;False
00000000000000000000;19686;0;7.733000529697165e-06;16;False
00000000000000000000;14600;0;9.06200148165226e-06;16;False
00000000000000000000;17810;0;7.786999049130827e-06;15;False
00000000000000000000;19188;0;8.559996786061674e-06;16;False
00000000000000000000;16760;0;7.959999493323267e-06;16;False
00000000000000000000;16638;0;8.216000423999503e-06;17;False
00000000000000000000;14876;0;8.132999937515706e-06;17;False
00000000000000000000;18969;0;8.234001143136993e-06;16;False
00000000000000000000;17209;0;8.390001312363893e-06;16;False
00000000000000000000;16236;0;8.358998456969857e-06;17;False
00000000000000000000;14649;0;7.811999239493161e-06;16;False
00000000000000000000;19231;0;7.703001756453887e-06;16;False
00000000000000000000;17651;0;8.237002475652844e-06;16;False
00000000000000000000;14761;0;8.620001608505845e-06;17;False
00000000000000000000;17080;0;1.0986001143464819e-05;16;False
00000000000000000000;18014;0;1.136799983214587e-05;16;False
00000000000000000000;19315;0;7.927999831736088e-06;16;False
00000000000000000000;14098;0;7.66799712437205e-06;16;False
00000000000000000000;17567;0;7.9849996836856e-06;16;False
00000000000000000000;16251;0;7.892998837633058e-06;16;False
00000000000000000000;19045;0;8.151000656653196e-06;16;False
00000000000000000000;17527;0;7.698999979766086e-06;17;False
00000000000000000000;18016;0;8.25999813969247e-06;16;False
00000000000000000000;16949;0;7.317998097278178e-06;16;False
00000000000000000000;19042;0;8.305996743729338e-06;16;False
00000000000000000000;15559;0;7.900998753029853e-06;16;False
00000000000000000000;17627;0;8.661001629661769e-06;17;True
