conf;price;weight;time;complexity;optimal
010111001011111;13383;0;0.18421357599436305;250606;True
111011111001011;16649;0;0.220456879993435;305005;True
000111011111101;16292;0;0.22785564699734095;313383;True
010110000010100;7638;0;0.24723035900387913;330913;True
111111111111011;18175;0;0.2108862470049644;295132;True
100100000100000;4823;0;0.24188165800296701;337520;True
111100111111101;19142;0;0.24159365300147329;339470;True
111111111111101;20554;0;0.24459462099912344;338755;True
101111111111111;19936;0;0.24159913300536573;326249;True
111111111111110;18198;0;0.21375434199580923;294361;True
110001000001001;7079;0;0.16857299100229284;241169;True
110011010011100;11960;0;0.18839298999955645;259714;True
111111001011111;17760;0;0.22935652500018477;319075;True
111001101111111;14958;0;0.20004377300210763;272798;True
000000000000100;633;0;0.18422974700661143;252686;True
111011100010101;13365;0;0.18211087500094436;247089;True
000000101000010;6084;0;0.20081743100308813;284182;True
100111101101001;13735;0;0.20646971099631628;286771;True
111111111111100;18478;0;0.22105408399511361;304978;True
101111100111110;18705;0;0.23893435599893564;325474;True
111111101111111;18689;0;0.21194253800058505;299208;True
011001110011001;12365;0;0.21994911699584918;307860;True
011100111110110;16774;0;0.256366995999997;356814;True
111101111001001;14864;0;0.19975601600162918;280831;True
011010111010101;13565;0;0.20743180299905362;287824;True
101001001111111;14756;0;0.2399425780022284;337243;True
110001011010001;10468;0;0.234261443001742;328254;True
101111111011100;15738;0;0.19404827900143573;271576;True
101111011111110;19972;0;0.25099162600236014;350829;True
111011110111011;16148;0;0.19262139900092734;262513;True
111011011111100;16020;0;0.21096996900450904;279624;True
000100001010111;10617;0;0.28008100699662464;342909;True
000000000000000;0;0;0.2789218739999342;333930;True
100011101111000;17001;0;0.38931941099872347;411260;True
001001111001111;14872;0;0.2586634440012858;306270;True
011010000001100;10645;0;0.24562344600417418;337409;True
010100110110111;15789;0;0.288069980997534;287980;True
101001000100000;8049;0;0.3478956030012341;365642;True
111000011100010;10259;0;0.28672791799908737;291267;True
111000011111111;18306;0;0.27273930799856316;345015;True
111111111110101;17431;0;0.23415175399713917;293173;True
110001100000101;9945;0;0.31700134899438126;376887;True
111111111111101;17653;0;0.2291308579951874;284434;True
000000011001110;9670;0;0.21017342300183373;268049;True
000010101101100;9343;0;0.23475809500087053;285906;True
111101111111111;14049;0;0.18219663100171601;225155;True
011111111111111;20707;0;0.28495769599976484;333603;True
100000010001000;5814;0;0.2142121569995652;277539;True
