conf;price;weight;time;complexity;optimal
111001101111111;10050;788;0.028315871000813786;4195;True
111010110111110;13567;1207;0.023067278001690283;3572;True
110111111100110;12533;1093;0.03245613000035519;5200;True
001011011111111;13451;1194;0.031080831999133807;5579;True
110110111011101;13049;1151;0.025046932998520788;3253;True
111110100111101;15668;1441;0.024859796001692303;3183;True
111101101101101;12945;1136;0.02852630100096576;4260;True
011011011111110;14258;1283;0.023707355998340063;3795;True
110111010111101;12322;1067;0.01725557099416619;1859;True
011111011001111;13667;1217;0.01966717899631476;1995;True
110010011111111;15228;1391;0.022174224999616854;2562;True
101010111110111;15451;1416;0.027835028995468747;4641;True
101111111110110;12342;1042;0.030697343005158473;5370;True
111111010111010;13968;1250;0.03331379900191678;5566;True
110110110110111;12761;1117;0.02879465300065931;4855;True
010011111111110;14890;1353;0.02750365099927876;4776;True
111111011011001;14942;1360;0.028791791999537963;4310;True
111111010111110;14762;1314;0.02634692099672975;4596;True
101010111111101;12897;1132;0.028794739999284502;5558;True
111010110111011;13270;1174;0.025041262997547165;4060;True
101111101101110;12964;1140;0.02572838500054786;3997;True
111111011110010;11948;1027;0.034319861995754763;6049;True
101101111010111;13558;1205;0.03054090400109999;5406;True
101101111111101;14210;1251;0.02723364700068487;5093;True
111111111000111;11634;965;0.02701935899676755;3792;True
101111111001110;12226;1058;0.023195693996967748;3761;True
101100111101111;13152;1160;0.03263614300522022;2538;True
110101111101110;13100;1154;0.03426309300266439;5976;True
110101101111111;11559;957;0.02173861699702684;3043;True
111110011011111;13196;1138;0.017598796002857853;1946;True
101111101101111;13147;1131;0.026159841996559408;4350;True
111001111101101;13052;1150;0.02899448399693938;4632;True
110111101110011;13719;1224;0.018956390005769208;2160;True
101011111100111;16230;1501;0.023479796000174247;3377;True
110011111011101;12515;1089;0.017227569995156955;2250;True
011111101111011;12223;1031;0.026048127001558896;3974;True
111001101101111;15567;1430;0.025459350996243302;3779;True
111111010010111;14342;1291;0.023292341000342276;2862;True
111110110110101;14722;1334;0.0242068039951846;4151;True
011110111101111;11905;993;0.017508342003566213;1976;True
101011111011011;12549;1094;0.022269671004323754;3034;True
111011011111001;12378;1074;0.026930072999675758;3390;True
111010111111001;15336;1405;0.025882424000883475;3765;True
101101111110101;14422;1303;0.03485775199806085;4389;True
011110101111011;11804;1010;0.028737166998325847;4379;True
011011111111101;12938;1110;0.029790628999762703;4680;True
001111110111111;12726;1088;0.023295487997529563;3940;True
111110111011010;14642;1327;0.03868661400338169;6504;True
100111111011101;13334;1179;0.03184974999749102;4277;True
101110111101011;13127;1157;0.02954850900277961;4138;True
010101111111011;11176;941;0.028422094001143705;3910;True
111011100101111;15326;1401;0.03127934199437732;4828;True
111110111011110;11463;946;0.03332214499823749;6153;True
110101101101111;14541;1315;0.021155882997845765;3111;True
111011011010111;15847;1459;0.02956547999929171;4676;True
110110101111111;10539;841;0.02091203500458505;3240;True
011111110011011;13159;1161;0.021144161000847816;2407;True
110011111011111;13929;1218;0.014279945993621368;1585;True
101011110111110;14096;1265;0.033231660003366414;5540;True
101111011110011;13850;1237;0.031047370001033414;5195;True
011001111011111;14904;1356;0.023350962001131848;2639;True
101011101111011;12448;1082;0.029648809002537746;5173;True
111110011011011;14445;1304;0.022909063001861796;3293;True
011111100110111;12756;1116;0.013738542998908088;1315;True
011111101101101;13726;1223;0.026404823001939803;3248;True
110001011011111;16321;1538;0.035844869998982176;3264;True
001111011111111;12870;1102;0.018847379004000686;1697;True
110100111011111;11726;1002;0.029485852996003814;4007;True
110111101110011;16061;1484;0.022499721999338362;2952;True
110111011001111;12452;1082;0.01968540600501001;3034;True
011111011111110;12309;1041;0.022614057001192123;3671;True
111111011011010;13655;1217;0.03551362099824473;5798;True
011011111011110;15558;1428;0.020596766997186933;2766;True
101110111111101;12611;1074;0.020489488997554872;2624;True
110011111111110;11678;971;0.03143443100270815;5886;True
010111111111010;14926;1357;0.03392174399778014;5460;True
101011111110110;13532;1202;0.04036965800332837;5535;True
111001111110101;14282;1285;0.027799224000773393;4013;True
111110111010110;13401;1189;0.028280735001317225;4714;True
110111010111101;13904;1244;0.032369776999985334;5105;True
111111000111101;13412;1191;0.03826790300081484;6617;True
011111111110010;13482;1195;0.029940492000605445;4933;True
011110111111011;13154;1134;0.017520310000691097;2020;True
111101101111101;12220;1028;0.019502306000504177;2681;True
111001100111111;13227;1168;0.02918539399979636;5626;True
010111111111001;13015;1146;0.029063175003102515;4789;True
100111110110111;14236;1280;0.021210566999798175;3591;True
011111111100110;12907;1132;0.022827433997008484;2860;True
101111100011111;13063;1151;0.024608828003692906;3072;True
101111101110111;11883;992;0.02099017900036415;2561;True
100111111011101;13209;1167;0.03094098999281414;5323;True
010011111111111;13364;1157;0.023392404997139238;3764;True
011111111001110;12461;1084;0.027944339002715424;3895;True
010011111111011;11855;1015;0.023605356000189204;3543;True
110011111110011;15565;1429;0.03242188700096449;5133;True
001111111111101;12915;1106;0.019300734995340463;2673;True
111011111010101;14375;1296;0.021680758000002243;2841;True
111010111101111;14032;1233;0.012135545002820436;1363;True
011101011111011;13357;1183;0.024124022005707957;3736;True
111111111011001;10793;871;0.02477111999905901;3571;True
110110110111011;14400;1298;0.02462631499656709;3215;True
111111110110011;13094;1129;0.02439640700322343;3440;True
111010011111111;10174;803;0.011501034998218529;1115;True
101111100111011;14660;1328;0.02699485299672233;4405;True
011011110101111;13308;1178;0.021312586002750322;2335;True
100110101111111;13346;1184;0.017887474001327064;2817;True
111010011011111;13887;1242;0.029491594999853987;4471;True
111110110111010;14062;1262;0.03844705899973633;6762;True
011111110101110;13032;1147;0.026933344001008663;4358;True
111111001001111;13067;1151;0.03284544499911135;5783;True
111101011011011;14967;1362;0.02084634800121421;2561;True
101110101111101;12691;1109;0.025155608003842644;3988;True
011111111011100;14191;1277;0.039915229004691355;6567;True
111101101111101;13014;1117;0.01702778899925761;2196;True
111110010111101;13710;1223;0.030443212999671232;5391;True
011011101111101;11640;993;0.036205989999871235;6131;True
111110111001101;12508;1089;0.03052082099748077;4864;True
111101110110011;12319;1069;0.036450417996093165;6499;True
110011010111111;12517;1090;0.027012244005163666;4976;True
101111110110110;14847;1349;0.027460083001642488;4626;True
101110011111111;12964;1113;0.01282591500057606;1252;True
111101111111010;13202;1140;0.0303864870002144;4996;True
111111011101011;12945;1110;0.020022363001771737;2346;True
111110111011110;12878;1103;0.026208223003777675;4562;True
010110111111111;10846;878;0.013661626995599363;1418;True
101111011110101;13386;1186;0.02532831700227689;4024;True
111010111111010;12475;1085;0.0279920890025096;4698;True
011111101111011;10920;885;0.02058235699951183;2592;True
011110110110111;16005;1478;0.021255660998576786;3378;True
111111100110110;13629;1213;0.03111269199871458;5651;True
010111111110101;13627;1213;0.030250916999648325;4904;True
111011011100110;14720;1362;0.028223009998328052;4981;True
110111111011001;12653;1106;0.020412769001268316;3081;True
111111010011101;13709;1223;0.028404611999576446;4449;True
111010100111111;14676;1331;0.026012365997303277;3723;True
001111111011101;14436;1304;0.03255280300072627;4915;True
010111111011110;12563;1095;0.03162087000237079;5470;True
001111101111101;14906;1356;0.029553305997978896;4870;True
111111100001111;12662;1108;0.02651315399998566;4352;True
110111111011011;12410;1051;0.014625213996623643;1507;True
110101110111011;14045;1258;0.030650291999336332;5253;True
001111111001111;11813;1012;0.0229883299980429;2123;True
110111101111011;11022;898;0.014916722000634763;1525;True
110011111110111;11635;966;0.018573501001810655;2812;True
110101110111111;11486;950;0.021418420001282357;3377;True
100011111011111;12034;1036;0.022751258002244867;3615;True
010111011111011;14182;1275;0.024833665003825445;4065;True
010111111011011;12978;1141;0.023377138997602742;3911;True
101101110111011;15870;1462;0.03289500800019596;5304;True
111111111000101;11164;939;0.035709021001821384;5782;True
011011101111011;13938;1248;0.023140534001868218;2940;True
100101111111111;12851;1101;0.015984562996891327;2253;True
101111001111110;15000;1366;0.025266594006097876;4218;True
011111101010111;12843;1127;0.024648858998261858;3247;True
110111101011110;12831;1124;0.031438016005267855;5144;True
010110111111011;12635;1104;0.017935784002474975;1959;True
100111111110011;14928;1357;0.02931909100152552;4557;True
110110011111110;14320;1290;0.03051586399669759;5076;True
110101111111110;11178;915;0.027529888997378293;3398;True
011011101111111;13390;1161;0.010651636999682523;1017;True
111100111001111;14895;1355;0.03318189900164725;5249;True
011111111101100;10457;862;0.028885599997011013;4438;True
111010010111111;13246;1169;0.020534698000119533;2930;True
110101111011011;13398;1189;0.01774903199839173;2100;True
010111111011110;13972;1252;0.02200029600498965;3446;True
101110111010111;13844;1236;0.016810127002827358;2563;True
011111101010111;9768;785;0.031809485000849236;4783;True
111111111100001;13187;1165;0.02999047299817903;4598;True
111111011111010;12020;1008;0.03033949399832636;4674;True
110101011111110;13642;1215;0.02492673599772388;4467;True
111111101100111;13655;1190;0.02319698400242487;2930;True
111011101101011;16124;1491;0.027883424998435657;4657;True
111111110001101;12358;1073;0.022275147995969746;3183;True
111100011111011;14319;1290;0.025873218997730874;4274;True
110111101101101;13664;1218;0.023539772002550308;3863;True
111011111111000;12961;1139;0.03293587700318312;5998;True
111011111110101;13379;1158;0.02267216499603819;2996;True
111111100111110;12884;1105;0.02032989799772622;3260;True
111000111111111;13921;1220;0.013401440002780873;1350;True
111111100011110;13189;1164;0.027678212005412206;3767;True
110110101111011;11799;1010;0.03056712400575634;5181;True
111011111010110;12928;1134;0.03374315899418434;5609;True
111011100011111;15414;1412;0.023339286002737936;3108;True
111110111001111;12744;1087;0.024744615002418868;2472;True
101111100101111;14793;1344;0.016859848001331557;2445;True
111111100111001;14505;1312;0.03186453200032702;4203;True
111111010101101;14044;1259;0.027979224003502168;3357;True
110011011111111;9938;776;0.011110768005892169;1421;True
011111011111100;14145;1272;0.03527907600073377;5012;True
011010111111111;12813;1097;0.021979336997901555;2770;True
101010111111101;14558;1315;0.02027761299541453;2402;True
101111111100101;13415;1189;0.030732108003576286;4857;True
111111011111100;11699;973;0.03133724099461688;5718;True
111011011011110;15147;1381;0.02944323499832535;4376;True
101100011111111;14740;1336;0.023298744999920018;3459;True
110101101111011;15495;1422;0.021422737998364028;3081;True
101101011111110;14024;1258;0.022081893002905417;3716;True
011101111011110;13996;1254;0.026943807999487035;4280;True
111111010111001;12930;1137;0.0233522839989746;2895;True
110101111111011;11565;955;0.030471145000774413;4671;True
110111101111010;12524;1091;0.02780082200479228;4574;True
110111001111110;10996;921;0.025831883001956157;4232;True
111101010111111;13229;1142;0.014942496993171517;1515;True
111010111100111;11900;1023;0.017337071003566962;2065;True
011111110011111;13556;1177;0.013313495001057163;1359;True
110011110111101;13000;1144;0.027009857003577054;4376;True
011111111100110;13276;1174;0.030432865998591296;5513;True
101111011011101;12992;1141;0.0239298599990434;2721;True
111101111011100;14413;1300;0.038223117000597995;6931;True
100011111011111;16024;1480;0.016390124001190998;2124;True
111100110111111;10880;881;0.01147238799603656;1131;True
110111100111101;13748;1227;0.033816110000771005;5490;True
111111111011110;8436;582;0.02449310600059107;4529;True
101010011111111;13986;1255;0.020704058995761443;2820;True
001111111011101;15256;1393;0.02349177900032373;3050;True
011111101100111;10892;910;0.026561631995718926;3802;True
101111011110011;14634;1324;0.028514430996438023;4645;True
111100111011101;13617;1212;0.01487428000109503;1575;True
111110011110011;12808;1121;0.028652414999669418;4571;True
111110110110110;16675;1552;0.02505510800256161;3953;True
101111111101001;14419;1303;0.027120259997900575;3576;True
011110111011110;16322;1513;0.037185989996942226;5841;True
111111011011101;13662;1190;0.02467808799701743;2993;True
011110110111010;14191;1305;0.03505701800168026;6313;True
110110111001111;14756;1339;0.024967682002170477;4029;True
111111001111010;12984;1141;0.026756143997772597;4378;True
110111110111011;12329;1041;0.021704614002374;2885;True
110111011111110;12130;1019;0.020764130997122265;3507;True
111111100011011;11283;951;0.02629425100167282;2628;True
110110111111101;11096;906;0.02223248100199271;3113;True
111011111011101;12148;1023;0.027618865999102127;3956;True
101111010111011;15074;1373;0.026819325998076238;2580;True
100011111111110;15831;1458;0.029175934003433213;4830;True
110100111111110;14390;1299;0.03168085099605378;5356;True
110011111010111;14305;1288;0.024287250998895615;3306;True
111110110111100;14600;1322;0.037386302996310405;6539;True
111011011011011;15542;1425;0.027021556998079177;3999;True
100110111011111;14839;1349;0.028302507002081256;5032;True
101111011101110;13536;1204;0.030824522000330035;5221;True
011100111111110;14225;1280;0.0285723679990042;4843;True
111000111101111;13664;1217;0.021679919002053794;2422;True
110101111111101;11525;951;0.019763121999858413;2713;True
110101111111100;14750;1338;0.02924383299978217;5342;True
110111001111111;13159;1135;0.01471748600306455;1678;True
110111111110101;12382;1047;0.027680243998474907;4194;True
011011111101011;15697;1445;0.03185943399876123;5594;True
110111100101111;14922;1358;0.02313055699778488;2983;True
001111111011101;12943;1137;0.02310769299947424;3045;True
011111110101111;13513;1172;0.022287422994850203;3609;True
110101111110111;12967;1113;0.02653098799783038;3884;True
111111001111110;12347;1044;0.025018467000336386;4630;True
111100111110110;16993;1588;0.024818404999678023;3542;True
011111101110110;13496;1200;0.026713150000432506;4930;True
110101110110111;12542;1093;0.02804549699794734;4045;True
111111011001101;14992;1365;0.03288292400247883;5557;True
011110101111111;12651;1079;0.026588524000544567;4863;True
101110101111011;14712;1332;0.03108209399943007;5429;True
011111101110111;12022;1007;0.022960689006140456;2921;True
111011110111101;13429;1164;0.030305487001896836;4561;True
111111100110111;13259;1146;0.03092512599687325;4527;True
110111110101111;11090;902;0.02374846900056582;2426;True
110111110101011;12842;1127;0.03098064100049669;4004;True
111011110110111;11585;959;0.01959967499715276;2312;True
110111111101010;13429;1191;0.027960384002653882;4760;True
101111011001111;10633;881;0.0232762450032169;3163;True
011111110101111;13026;1118;0.019996233000711072;2876;True
111111101011001;14471;1308;0.030803866000496782;3545;True
110011111101111;11650;966;0.017943728998943698;2512;True
100110011011111;13943;1276;0.03139200300211087;5614;True
101111101011110;13627;1214;0.019650995003758;3112;True
101110001111111;13425;1191;0.021501116003491916;3277;True
111111110101011;12425;1054;0.029615598999953363;3247;True
111111011010111;10673;858;0.029642115005117375;5074;True
111101101101111;10207;807;0.022959775997151155;3160;True
101101110111110;14637;1325;0.02349845699791331;3968;True
110001111111111;12918;1109;0.024309652995725628;4470;True
011101101111101;12569;1095;0.015574541001114994;1668;True
