solvable;conf;price;weight;time;complexity
True;111001101111111;10050;788;0.0209818430012092;4195
True;111010110111110;13567;1207;0.01790599900414236;3572
True;110111111100110;12533;1093;0.03634522300126264;5200
True;001011011111111;13451;1194;0.03498209699318977;5579
False;110110111011101;13049;1151;0.021919218997936696;3253
True;111110100111101;15668;1441;0.03097329299635021;3183
False;111101101101101;12945;1136;0.04075293600180885;4260
False;011011011111110;14258;1283;0.02789783100161003;3795
True;110111010111101;12322;1067;0.017165333003504202;1859
True;011111011001111;13667;1217;0.01771065199864097;1995
True;110010011111111;15228;1391;0.01708028400025796;2562
True;101010111110111;15451;1416;0.021169794999877922;4641
False;101111111110110;12342;1042;0.02325177199963946;5370
True;111111010111010;13968;1250;0.025373274998855777;5566
False;110110110110111;12761;1117;0.02270785500149941;4855
True;010011111111110;14890;1353;0.021250441001029685;4776
True;111111011011001;14942;1360;0.021985959996527527;4310
False;111111010111110;14762;1314;0.020715238999400754;4596
False;101010111111101;12897;1132;0.02305571000033524;5558
True;111010110111011;13270;1174;0.018517026997869834;4060
True;101111101101110;12964;1140;0.018050245998892933;3997
False;111111011110010;11948;1027;0.027338154999597464;6049
False;101101111010111;13558;1205;0.02443120299722068;5406
False;101101111111101;14210;1251;0.022191726995515637;5093
False;111111111000111;11634;965;0.021465994999743998;3792
False;101111111001110;12226;1058;0.019596147001720965;3761
True;101100111101111;13152;1160;0.016612850995443296;2538
True;110101111101110;13100;1154;0.03436467400024412;5976
True;110101101111111;11559;957;0.019288837997009978;3043
False;111110011011111;13196;1138;0.016064774004917126;1946
False;101111101101111;13147;1131;0.0235127440028009;4350
False;111001111101101;13052;1150;0.02672757500113221;4632
False;110111101110011;13719;1224;0.01650648299983004;2160
True;101011111100111;16230;1501;0.020833343005506322;3377
False;110011111011101;12515;1089;0.015869028997258283;2250
True;011111101111011;12223;1031;0.024195122001401614;3974
True;111001101101111;15567;1430;0.02231416600261582;3779
False;111111010010111;14342;1291;0.020495855002081953;2862
True;111110110110101;14722;1334;0.020835743001953233;4151
True;011110111101111;11905;993;0.01400127499800874;1976
False;101011111011011;12549;1094;0.019595653997384943;3034
True;111011011111001;12378;1074;0.023811181999917608;3390
False;111010111111001;15336;1405;0.023248555000463966;3765
False;101101111110101;14422;1303;0.026271555994753726;4389
False;011110101111011;11804;1010;0.024443233996862546;4379
True;011011111111101;12938;1110;0.026236916004563682;4680
False;001111110111111;12726;1088;0.02095801899849903;3940
True;111110111011010;14642;1327;0.03347388599650003;6504
False;100111111011101;13334;1179;0.03164851800102042;4277
False;101110111101011;13127;1157;0.024337559996638447;4138
False;010101111111011;11176;941;0.026658269998733886;3910
True;111011100101111;15326;1401;0.027184671998838894;4828
True;111110111011110;11463;946;0.028857004996098112;6153
True;110101101101111;14541;1315;0.01944561900018016;3111
False;111011011010111;15847;1459;0.02757243900123285;4676
False;110110101111111;10539;841;0.01894024899957003;3240
True;011111110011011;13159;1161;0.019918491998396348;2407
False;110011111011111;13929;1218;0.012776358998962678;1585
False;101011110111110;14096;1265;0.029825558995071333;5540
True;101111011110011;13850;1237;0.027587263997702394;5195
True;011001111011111;14904;1356;0.017575992998899892;2639
False;101011101111011;12448;1082;0.027034999002353288;5173
False;111110011011011;14445;1304;0.019021917003556155;3293
False;011111100110111;12756;1116;0.010595151004963554;1315
False;011111101101101;13726;1223;0.017806030002248008;3248
True;110001011011111;16321;1538;0.018528529006289318;3264
False;001111011111111;12870;1102;0.012565527002152521;1697
True;110100111011111;11726;1002;0.021291430995916016;4007
False;110111101110011;16061;1484;0.017234597995411605;2952
False;110111011001111;12452;1082;0.014872592997562606;3034
True;011111011111110;12309;1041;0.017117725998105016;3671
True;111111011011010;13655;1217;0.025752379995537922;5798
True;011011111011110;15558;1428;0.014988984999945387;2766
False;101110111111101;12611;1074;0.015319419995648786;2624
