w_sum;time;rel_err;conf
3236;3.6816296439792495;0.0;10111101011110110111
6403;3.7876566449995153;0.0;11110111111101011111
7843;3.603888621000806;0.0;01111111111111110011
6375;3.8722135779971723;0.0;11111001101111110011
5738;3.876162126980489;0.0;01111111110111000110
6072;4.153513978002593;0.0;11110101011001111111
4641;4.077136819018051;0.0;11100110110111011000
6887;3.974717907985905;0.0;01111101111110110110
6132;4.066892549977638;0.0;11111011101110111001
6790;3.9347142149927095;0.0;01111110111100101111
7577;4.053999144991394;0.0;01111111111111110101
6019;4.215153328987071;0.0;11110110110110101110
9424;3.7946228710061405;0.0;11111111111011111111
4259;4.413940699014347;0.0;11111010111001000010
7683;4.349746194988256;0.0;11111100010111111111
5807;4.1745810260181315;0.021402089652847994;10101111101111101010
7509;4.104841372987721;0.0;11111111100101111011
7483;4.072211981983855;0.0;01111111011111111101
6500;4.179631902021356;0.0;10110111111001111110
7960;3.9199720350152347;0.0;11111110101111111011
5570;4.55643149302341;0.0;10111000111111011101
6192;4.152946241985774;0.0;11110111101111011000
6407;4.224414149008226;0.0;00011111011111111110
6416;4.1196472290030215;0.028614685844057533;10011110010011111111
7538;3.84586157798185;0.0;11111111011011111010
5375;4.4624801719910465;0.0;10100111100111101110
6529;4.246428849000949;0.0;10111111111100111100
7821;4.017763985990314;0.0;10110111111111111101
7238;4.212378252996132;0.0;11111110111101011110
8000;4.180480440001702;0.0;11111011110111111101
7200;4.109480176994111;0.0;11111111111111001010
8727;4.149713241000427;0.0;11111111011111011111
8130;4.105751138005871;0.0;11111111111101101101
5643;4.240434163977625;0.0;11100101111111110001
3662;4.033212137990631;0.0;11111111101011111010
4676;3.966588306007907;0.0;11011111111111111111
3045;4.3779783740174025;0.0;11010001011111101011
3266;4.075697647000197;0.0;01111110111001010111
3035;4.095459282019874;0.0;11100110111111011000
3269;4.0453257970220875;0.0;11100111011110100111
4265;4.375437327020336;0.0;11111111111101110010
4192;4.432320255000377;0.0;11111101111101111101
4269;3.9693840559921227;0.0;11111011011101111111
2979;4.393106246017851;0.0;11110111110100111101
3851;4.487954147014534;0.0;11111011111101111101
3000;4.670320247998461;0.0;01001011001111111110
3553;4.410465392022161;0.0;11011111111001100111
3375;4.887664395006141;0.0;11111111101011100001
4401;4.464934118004749;0.0;11111111110111111110
3784;5.066195580002386;0.0;00011101111110111111
2821;5.06148223899072;0.0;10110111111010010101
5384;4.692485824023606;0.0;11111101111111111111
3137;6.225281423976412;0.0;10111110111110110010
3437;5.054387573996792;0.0;11111110011101001111
3444;5.0797894510033075;0.0;11110111110111011011
2684;4.953404166997643;0.0;11111011010101001110
2937;5.54721500800224;0.0;11111101111110110100
3542;5.365134930005297;0.0;11011011111111111011
2372;5.021874539001146;0.06687647521636507;01011010100100111111
2550;5.309461901983013;0.0;00111110101011101101
3051;5.20615284901578;0.0;11011111101011011010
3132;5.139628656994319;0.0;10111111110010011111
3847;5.396382858016295;0.0;10111011111111111011
2676;7.11061184402206;0.0;01011101101011111101
3148;7.597938188991975;0.0;10111101110111100111
2661;7.186570103018312;0.0;10111100001101111101
2988;6.728188484994462;0.0;01001111100111111101
3530;7.172982541000238;0.0;11111111110011011101
3213;7.945506807009224;0.0;10111010111110011111
3018;6.568734711006982;0.0;11011110111011001111
3488;5.793426879012259;0.0;11111111111111110100
2705;5.438690949988086;0.0;10010111101111100101
4023;4.823145679984009;0.0;11111011110111111111
2588;5.843150661006803;0.002697495183044316;10110110111101011101
2734;5.401193527999567;0.0;10101101111100101111
3668;5.160231621004641;0.0;11110111111110101111
2669;5.035677278996445;0.0;11000111001101110111
3089;4.902863695984706;0.0;00111011011011011111
2616;5.169543194992002;0.0;11111100110100011011
3194;4.860462036012905;0.0;01111110110111111101
3910;4.718781522999052;0.0;11011011111111111111
2407;5.04593042601482;0.0;10101011100111010011
3681;5.125223857990932;0.0;11111010111111111011
3588;5.188292515987996;0.0;11111111101001110110
2480;5.157323271007044;0.0;11011100011110110001
3547;5.617664532008348;0.0;10101111111001111111
4499;5.65988427598495;0.0;11111101110111111111
4144;5.595528090983862;0.0;11111110101111110110
2506;5.212588505994063;0.0;00100101110111111010
3002;5.366230795014417;0.0;01101110010101111110
2911;5.7171101789863314;0.0;10101101111110010011
3319;4.985656702978304;0.0;01111101110111011011
3925;5.049905364983715;0.0;11011111101011111110
3752;5.093024136993336;0.0;01111111111111010110
3464;4.96900286199525;0.0;10010101110111111111
3527;5.235633273987332;0.0;11110111110111001111
3665;5.443172702973243;0.0;11101111111101111001
2786;5.272802157007391;0.0;10101111011011110110
4669;5.006589427997824;0.0;11011011111111111111
4389;4.826517338980921;0.0;11101111101101111111
