w_sum;time;rel_err;conf
62;4.046302351023769;0.1506849315068493;01111111110111000110
57;3.9279342129884753;0.14925373134328357;01010010110111011010
80;3.792736158997286;0.0;01110011110110101111
75;3.764989206014434;0.0;10110011111010100110
69;3.8697430480096955;0.0;10111111101011111110
68;3.873272056982387;0.0;01111100100011110111
33;3.9074881009873934;0.5352112676056338;11100100100111011000
80;3.939672118984163;0.0;11011111011000011100
83;3.649550799978897;0.0;01011111011101011111
66;4.061046198010445;0.0958904109589041;10111101110001001011
71;4.045555904973298;0.0;10101110110100010110
72;3.743349685013527;0.04;10001011011110110100
62;4.48486436100211;0.3111111111111111;11100011111001101111
26;4.168088164005894;0.4583333333333333;10001100011110100111
68;4.305231889011338;0.25274725274725274;11011111111010110101
48;3.9713685429887846;0.21311475409836064;11110111111110001010
40;3.959764670988079;0.25925925925925924;01001001111011111111
61;3.855687992996536;0.12857142857142856;01011100111101011110
74;3.82882845698623;0.0;01011110111110010101
23;3.887292146013351;0.43902439024390244;10011111010111100101
39;4.085649425018346;0.30357142857142855;00110110101001010101
36;4.392939425015356;0.2;01011001101100100011
59;4.007154360995628;0.3058823529411765;11111000111101010101
93;4.388846996007487;0.0;11110111011110001010
53;4.063370668998687;0.32051282051282054;10101100100010101110
48;3.9322500850248616;0.2835820895522388;11110111110101111101
32;3.9165778960159514;0.49206349206349204;01011101101011111000
50;3.8379654469899833;0.10714285714285714;01010101100101011001
60;3.9383652579854243;0.03225806451612903;10111110011101011000
91;3.9323092339909635;0.0;01110011111100110111
95;3.8303488430101424;0.0;10111101011111111100
81;3.973294209019514;0.0898876404494382;11110001101111011011
37;3.716548499010969;0.0975609756097561;00110110000110110011
39;3.658993343007751;0.2777777777777778;11001101110110101110
36;3.953351313015446;0.0;00010101100011010111
54;3.9203623450011946;0.0;11001101011110011001
73;3.9200754839985166;0.0;11001000110001010110
42;3.752260009001475;0.14285714285714285;01001000101101011111
73;3.8487976149772294;0.0;11101011110001000001
43;3.6646320929867215;0.18867924528301888;01001111010111111011
88;3.7884837870078627;0.0;01011111110101001011
62;3.8937748929893132;0.21518987341772153;11010101100001101110
28;3.9199555969971698;0.631578947368421;10110110011101100010
45;3.7762744710198604;0.4;11001111011111110101
67;3.8811033490055706;0.0;01101101111111001010
54;3.776454206003109;0.06896551724137931;11001111110011011110
45;3.9429595139808953;0.3918918918918919;01110100111011001110
42;3.649538595986087;0.4;01011111000111011101
71;3.8968582039815374;0.0273972602739726;11111110110111001110
39;3.648433640017174;0.390625;10110100101011000001
55;3.9640428959974088;0.36046511627906974;10011000100111101111
54;4.050463410996599;0.0;10011101101101111111
54;4.042356866004411;0.0847457627118644;00011101110011111101
73;3.6605326519929804;0.0;11111110100101101111
40;4.275566032010829;0.0;01000011001000011100
39;3.8310574460192584;0.43478260869565216;01010010101011111001
48;3.8596187839866616;0.1111111111111111;00101010110111101001
51;3.630086130986456;0.03773584905660377;11101101001010110011
64;3.645227741013514;0.16883116883116883;11011011110101111101
62;3.990779671992641;0.08823529411764706;11011110111010100010
54;3.87536533101229;0.1;01110110100011011011
42;3.852884185005678;0.06666666666666667;01011111111101011111
54;4.20377643298707;0.14285714285714285;10101101111001011111
70;4.053896202996839;0.0;10000011111011011000
65;4.002213097002823;0.1875;01111001111101110111
48;3.890545236004982;0.1111111111111111;01011111100110000111
59;3.713797666016035;0.03278688524590164;11111100111100110011
33;3.8950464009831194;0.21428571428571427;11011011111111110011
46;3.906430389994057;0.22033898305084745;11000011110001111110
39;5.033113965997472;0.48;01011101101111001010
36;4.4888693369866814;0.42857142857142855;11110011110111000001
27;4.276199706015177;0.4807692307692308;00101011011000000111
39;4.81208175298525;0.43478260869565216;11011111101010011010
38;6.398492562992033;0.22448979591836735;10111110100010011011
101;4.318247379007516;0.0;11011111011110001011
54;4.071949754987145;0.2894736842105263;11110101101111101101
34;4.480417852988467;0.08108108108108109;00101110110001111110
75;4.105086498981109;0.0;11101011001011001111
51;3.886707111989381;0.23880597014925373;01111111010111101111
35;3.9665583169844467;0.4262295081967213;00001110011111101000
47;4.1859884099976625;0.17543859649122806;10100101011111111011
60;4.298964560002787;0.3617021276595745;11110010101110110001
54;4.337505251984112;0.0;11100000111000010111
47;6.212214974017115;0.0;00010011100010110101
60;4.5662979719927534;0.0;00010111100100001111
25;5.013793057994917;0.358974358974359;11011101100111010000
53;4.7639436869940255;0.3375;01011110111111001011
70;3.961671102006221;0.19540229885057472;10011111011101001000
38;4.140931974980049;0.0;11000000100001000011
57;4.767793151986552;0.0;11010110011010001000
42;4.293628882995108;0.0;00100000011000101100
51;4.212954267015448;0.22727272727272727;11011011110001100001
30;3.674735640990548;0.16666666666666666;00010110101111011111
40;3.8049177119974047;0.43661971830985913;00011111111100111010
67;4.902840185008245;0.014705882352941176;11111111101111111010
28;3.8238524890039116;0.06666666666666667;11010011011101100111
33;4.135572091996437;0.2826086956521739;11000111111111001100
73;4.262781759985955;0.1411764705882353;11111111011011111111
64;4.082744269020623;0.0;00010111001010100111
46;4.099723521008855;0.2923076923076923;10011111001101010100
