conf;price;weight;time;complexity;valid
0000;1129;0;1.0736999684013426e-05;6;True
0000;2966;0;5.883997800992802e-06;7;True
0000;0;0;4.159999662078917e-06;5;True
0000;70;0;3.851000656140968e-06;5;True
0000;2528;0;4.760000592796132e-06;7;False
0000;1641;0;6.474998372141272e-06;6;True
0000;4607;0;5.054000212112442e-06;8;True
0000;4422;0;4.106997948838398e-06;7;True
0000;3451;0;4.2769970605149865e-06;8;True
0000;744;0;3.7579993659164757e-06;5;True
0000;4774;0;4.284000169718638e-06;8;True
0000;1538;0;4.189998435322195e-06;7;True
0000;5798;0;4.137000360060483e-06;8;True
0000;3972;0;4.143999831285328e-06;8;True
0000;4117;0;3.818000550381839e-06;7;True
0000;2698;0;3.7329991755541414e-06;7;True
0000;0;0;3.6960009310860187e-06;5;True
0000;2453;0;3.611003194237128e-06;6;True
0000;3999;0;3.8100006349850446e-06;7;True
0000;4415;0;3.987999662058428e-06;7;False
0000;2098;0;3.6059973353985697e-06;6;True
0000;1382;0;3.84000304620713e-06;6;True
0000;4485;0;4.0909981180448085e-06;8;True
0000;3450;0;3.894001565640792e-06;7;False
0000;2773;0;3.828001354122534e-06;7;False
0000;2551;0;3.9859987737145275e-06;7;True
0000;3076;0;3.8090001908130944e-06;7;True
0000;1649;0;3.6050005292054266e-06;6;True
0000;2353;0;3.991997800767422e-06;7;False
0000;5798;0;4.2909996409434825e-06;8;True
0000;4506;0;4.161000106250867e-06;8;True
0000;5893;0;4.132998583372682e-06;8;True
0000;2277;0;3.7229983718134463e-06;6;True
0000;2359;0;3.683999239001423e-06;6;False
0000;2356;0;3.7620011426042765e-06;6;True
0000;1209;0;4.174002242507413e-06;7;True
0000;0;0;3.7419995351228863e-06;5;True
0000;3414;0;3.862998710246757e-06;7;True
0000;4899;0;4.0529994294047356e-06;8;True
0000;2310;0;3.7629979487974197e-06;7;True
0000;2024;0;3.7249992601573467e-06;6;True
0000;2625;0;3.910001396434382e-06;7;True
0000;3331;0;3.94200105802156e-06;7;True
0000;3271;0;4.120000085094944e-06;8;True
0000;4966;0;3.993998689111322e-06;8;True
0000;1792;0;3.76499883714132e-06;7;True
0000;4600;0;3.9000005926936865e-06;7;False
0000;3966;0;3.826000465778634e-06;7;True
